Historical,Near Future,Far Future
"(1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014)","(2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040, 2041, 2042, 2043, 2044, 2045, 2046, 2047, 2048, 2049, 2050, 2051, 2052, 2053, 2054, 2055, 2056, 2057, 2058, 2059, 2060)","(2061, 2062, 2063, 2064, 2065, 2066, 2067, 2068, 2069, 2070, 2071, 2072, 2073, 2074, 2075, 2076, 2077, 2078, 2079, 2080, 2081, 2082, 2083, 2084, 2085, 2086, 2087, 2088, 2089, 2090, 2091, 2092, 2093, 2094, 2095, 2096, 2097, 2098, 2099, 2100)"
"(1298.935362667443, 1393.208911325978, 1398.3399422620198, 1472.8535089514287, 1406.7224289443022, 1668.4781934663201, 1366.3904563276978, 1414.528592842988, 1458.1596009305508, 1284.9721352566476, 1679.6530809015978, 1523.8596728545426, 1253.6589127928826, 1527.1665578136071, 1351.8348663969443, 1340.851197790005, 1367.7606643204401, 1290.2348729355683, 1353.2163849911328, 1388.8702569223597, 1184.883820355004, 1084.3859447887749, 1517.215677526386, 1420.6999935468937, 1466.020084313102, 1537.9180541888936, 1587.2700558050353, 1528.0249186549042, 1362.719619968304, 1359.393526097712, 1642.780427748254, 1718.1998291395316, 1552.3221407551468, 1388.9365289460225, 1406.1329633144846)","(1260.5531877334022, 1427.5241133925279, 1503.8370040506252, 1422.0698002000727, 1625.6003232321257, 1484.9321394967417, 1165.9037641910531, 1552.0406040300613, 1677.6105073364565, 1543.7491244742084, 1655.045265474693, 1793.0764161569193, 1552.9342890134185, 1327.9254523256238, 1369.327467245481, 1736.854295455895, 1706.6917946102596, 1491.6606705475137, 1623.7903286922142, 1904.7911456427398, 1603.3306255227687, 1431.6914138664783, 1485.5283951729461, 1584.1145369691403, 1499.8964911280661, 1428.931284812778, 1495.1907368269412, 1858.5042763514546, 1561.225512173436, 1531.8646520618406, 1669.8504826349238, 1252.7494068601932, 1514.03544559225, 1526.6322592750398, 1586.1687367418608, 1410.3963580278426, 1639.696826917077, 1586.9127450577678, 1581.9423690317153, 1441.4912040207357, 1467.0973840140161, 1161.785050213985, 1462.7624743379038, 1708.2023715357457, 1406.013847056664, 1662.5662183135832)","(1739.263669400769, 1363.1303502612438, 1628.8804951415677, 1434.9948562799427, 1487.4816629239385, 1226.0866591078081, 1372.4862973852591, 2082.218945012918, 1551.5738674378874, 1465.91404041675, 1418.2564554345486, 1623.1446272836401, 1453.572220500403, 1567.2920978406946, 1275.7576684603175, 1447.5403792778732, 1423.730341687205, 1473.0919047734903, 1649.2542313410227, 1576.4785199702835, 1244.4494064206333, 1942.6450161427442, 1511.162026681486, 1678.9808301589292, 1654.6290630633584, 1392.45997444241, 1208.3837418594273, 1509.4720835134449, 1310.93228585073, 1549.8365717845, 1575.534432032556, 1384.9694659061086, 1639.010502438928, 1368.267671714433, 1497.3793159825184, 1176.8183405350837, 1534.878358814876, 1761.6772520017703, 1373.2316658714474, 1413.1220502294743)"
